,text
179,"아휴 돈아까워... 1편도 신파에 스토리 별로였지만 그나마 한국적인 스펙터클이 있어서 볼만했는데, 2편은 그것마저 없습니다. 전개는 느리고 왔다갔다, 반전은 뻔하고 임팩트도부족해요. 영화가 주는 메세지는 무슨 교육방..."
180,1편 보다 나은 CG 와 교체된 배역의 어색함이 없는 영화. 전편을 보고 봤다면 더 좋겠지만 이 편만 보아도 좋은 추천하고픈 영화.
181,진짜 재밋으니까 재밋다하지 ㅋ 풉 ㅋ댓글알바 알바천국 ㅇㅈㄹ 애휴 ㅉㅈ
182,지루하고 개연성도 없고 너무 길었다ㅠㅠ하 보는동안 너무 힘들었음..진심 노잼!ㅠㅠ
183,1편 찍고 보안하고 다듬어서 나온 영화가아니다. 1편 OOO기영화 연장성으로 2편도 그냥 쓰레기다.
184,하 진짜 열받는다 감독이랑 편집하는 아이새기들은 영화 안보니 ? 몰입도 하나 없는데 이걸 영화라고 쵸만됴료서 진짜 고문시키는것도 아니고 죽는줄 알았다.. 진짜 곤룐 나올때 식겁했다 ㅋㅋㅋㅋ 먼생각으로 만든거니 ? ㅋ...
185,보는동안 지루했슴...
186,진심으로 말씀드리는데요 정말 재미없습니다800만... 정말 눈을 의심할 정도로 않믿깁니다이런영화가 800만 이라니....
187,아이고...작가도 아닌데 내용 다맞추겠네
188,진짜 1편보고 2편 기대했는데 진짜 별로에요괜히 보고 돈만 날린듯 킬링타임으로 보는건나쁘지는 않은듯. 암튼 전 별로였어요
189,지루함스토리 개연성없음캐릭터 매력없음재미없는 뜬금 개그요소누구나 알수있는 반전?그래픽은좋음(근데 쥬라기월드는 왜나옴?)
190,아직 못 안보신분 읽어주세요.솔직한 감상후기 남김니다.8원1일 개봉일 어렵게 봤습니다.1탄 나름 신세계 장르라서 좋았습니다.2탄 그 어떤 영화든 기대하고 계실껍니다.확실히 기대하고 보신다면 실망 또는 후회하실껍니다....
191,평점 8.5 실화냐. 영화보다 더 반전이네.
192,한국 사람들 평가 참좋아해 ㅋㅋㅋㅋ 나만 재밌었으면됨 아 재밌었음 솨아악 에서 터졌네 ㅋㅋㅋㅋ
193,이번편도 재밌었는데 난
194,이런 영화가 천만관객인게 안타깝다. 그냥 우물안 개구리지 뭐.
195,내 생에 영화보다 졸아본 첫 영화. 차라리 웹툰 설정 따라갔으면 좋았을 걸
196,쩝..이게 뭐야1편에 비해
197,이시대의 역작   누구나다봐야하는   영화!
198,이런 영화가 자꾸 흥행하니 우리나라 영화수준이 낮아지는듯
199,스크린을 이딴식으로 독과점하고 천만 찍는다는 소리가 나오냐? 가슴에 손을 얹고 이 영화가 그 수준인지 생각해보라. 한국영화의 퇴보를 생각하면 낯짝이 다 화끈 거린다.
200,평점알바들 많네요...
201,와ㅡ 진심 처음으로 극장에서 잤다ㅡ 신과함께는 1편으로 끝냈어야 했고ㅡ 하정우는 영화 황해 이후로 영화 고르는 안목이 사라졌다ㅡ 아ㅡ 두시간 반동안 만이천원짜리 에어컨 쐬고 나왔다ㄷㄷㄷ
202,개똥노잼 재미없서용.
203,와.  CJ 알바의 힘이란..  알바몬에 없고 영화관 직원들 댓글로 10000원씩 준다네요  퍼뜨리세요
204,재미없습니다 뒤에서 팝콘먹는소리가 더 재밋어요 주식하는게 왜나오고 뜬금없이 공룡은 왜나옴? 억지 감동에 아이고 의미없다
205,영화보는거보다 팝콘먹는게 더 재미있었습니다.
206,그냥 한국 영화라는 편견으로 까는게 아니라 신과 함께 자체가 3류를 넘어선 하위급이다 여러 소분류 스토리들을 마구잡이로 넣어서 흐름끊는 건 영상에 대한 공부를 한 작자들인지 의심이 갈 정도다 개그 요소는 취향이라고 ...
207,한국 영화의 고질병 배우는 좋으나 감독과 작가가 문제
208,진짜 재밌어요 신과함께 1보다 훨씬 재밌어요 ㅜ 엉엉 진짜 빨리 보러가세요ㅜㅜ 하정우랑 주지훈이랑 도경수랑 김동욱씨랑 진짜.. 대박이에요 미모 미쳤어요.. 마블리는 핵 귀욤이구요ㅠㅠ 암튼 진짜 이거 다 이어져있군.....
209,"궁금하지도 않은거 자꾸만 주저리주저리 늘어놓는 배우들 대사,어거지 웃음코드, 영화관에서도 몇분 중간에 나가시던데 이해 됐다, 오글거림과 억지 빼면 엔딩크레딧만 남을 영화"
210,"솔직히 별 하나도 아깝다 ,.내 시간 아깝고 돈 아깝고 1편에 대한 기대로 갔다가.. 진짜. 아니다. 이건.. 장난하나.. 염라는 누굴까.? 우리 아빠는 아니다. ^^"
211,8점짜리는아닌것같아 1점줍니다
212,솔직히 유치하고 지루한데 이게 어떻게 1000만관객이지??? 신기한 영화인듯  이런영화가 1000만이라니  말도안ㅤㄷㅙㄴ다 진짜...
213,핵노잼  개노잼 !!  시작부터 끝까지  더럽게 재미ㅤㅇㅏㅄ었다.  앉아잇느라 고욕이였네  돈아깝다 1탄에  비해서 매우 구림 !!~  대학로 공짜 연극만큼 후졌다. 평점  8.7 ? 에라잇? 사기 알바꾼들 ~!
214,밀x 첫 등장 이준혁 더빙. 이미 들켜버린 감독의 트릭이라고 하기엔 수준이 너무 낮은거 아냐? 작위적 연출의 끝. 첫편은 국뽕판타지에 신선하기라도했지만 이건 뭐 연출 당위성 부여하려 죄다 설명천지...이럴바엔 오디오...
215,처음엔 우리나라의 기술력이 이렇게 발전했구나 싶어 좋았는데 늘어지는 전개와 무의미한 회상장면등 마지막 떡밥회수를 위해서라기엔 너무 불필요하고 억지스런 장면들이 많아 지루하고 답답함을 느꼈습니다.  기대했던만큼 아쉬움...
216,이런 영화가 흥행하고 이런 영화에 열광하는 상황이 한국영화산업의 질을 떨어트릴 것이다....
217,1편이 더 재밌고 슬퍼요 약간 아쉽네요
218,주지훈 멋있더라 이번편 원작 팬으로 굉장히 재밌게봄
219,지루하고 밀언 뒤집으면 강림이걸 되게 획기적인 아니디어인척 하는게 너무 노어이...
220,정말 1편과 같이 재미 없다 졸며 하품하다가 언제끝나나 하고 엉덩이 들석 거리며 봄 엉덩이만 아픔
221,국뽕영화..미션임파서블이 훨씬 재밌었다..
222,저만 중구난방 하다고 느꼈나요?타임킬링용 영화네요;;
223,과거를 전개하는 장면들이 상당히 정신 사나웠고 영화 전반에 걸쳐 왜 나온건지 의문이 드는 장면이 많았다. 스토리도 미흡하다. 볼만한건 배우들 연기 정도
224,하정우 광팬인데도 솔직히 실망ㅠㅠ
225,진짜 이게재밌다고?? 진짜?? 공룡나오는씬에선 한숨쉬면서 나갈까했다. 지루하기 짝이없고 이것저것 끼워맞추려노력하고 전개도뻔함 올해본영화중에최악. 길긴또왜이렇게기냐
226,"1편 나왔을때 천만영화,웃기고,감동적이라고 해서 봤더니.난 별로던데.내 영화보는 수준이 낮은가jQuery22408666870230481183_1533364915898?하긴 개취니까."
227,삵이 거기서 왜 나와...?
228,평점알바에 속아서 또당햇네 변산.마녀는비켜갔는뎅 1점도 아깝다 재미.감동 다 놓쳤다
229,공룡 튀어나오는 거 보고 지렸다. 이게 뭐냐
230,이런 영화가 또 천만 넘으면 한국영화 아주 심각한 수준이다
231,이사람 저사람 사정 다 봐주면 세상에 죽을사람 누가있음??? ㅋㅋㅋㅋ 억지 감동코드에다가 원작파괴 지리는 영화
232,멤버쉽으로 봤는데 너무하다 진짜. 고평점 준애들은 너도 당해봐라 심보인가. 원작에 완벽하게 똥을 뿌리네.  등장인물 과거사 궁금하지도 않은거만 장황하게 나열하고.. 스토리작가는 진짜 이딴 스토리 쓴 죄로 지옥에 덜어...
233,사시 악평할 정도는 절대 아니다. 전편을 재밌게 본사람에게도 속편은 있어야된다는것이  전편을 잘잇는다. 기대에 비해 실망이 큰것은 이미 전작에서 보여줄것을 최대치로 이미 보여줘서 그런것같다
234,좀 중간중간 지루한 부분이 있지만 스토리는 굿. 인물간의 관계를 짜임새있게 잘 설정해줘서 전 재미있게 봤습니다.
235,ㄹㅇ루다가 개노잼..
236,상영관 독점 너무 짜증납니다
237,아니 이러니까 한국영화가 발전은 못하지 대충 10년전 할리우드CG 보여주면 아주 질질싸면서 천만관객되버리네ㅋㅋㅋ 앞으로 시지떡칠 영화가 영화계 판을 치겠구만 에효...수준낮은 관객들
238,지루하고 재미 없습니다. 신파는 이제 지긋지긋하네요.
239,"관객을 바보라고 생각하고 만든 관객 기만작이자 분노 유발작. 앞뒤 전혀 맞지않는 내러티브, 어거지로 쑤셔 넣은 교훈. 억지 설정에 짜증 유발 주인공, 어설프고 손발 오그라드는 스토리 전개 방식, 원작 훼손은 덤."
240,별루....인디요..
