영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
115504,탐정 홍길동: 사라진 마을,160504,한국,드라마,0.835,0.68,0.813,0.66,0.854,1430885
125468,벤허,160914,미국,모험,0.86,0.367,0.867,0.764,0.899,1400301
109910,굿 다이노,160107,미국,모험,0.905,0.622,0.921,0.818,0.908,1328913
143245,셜록: 유령신부,160102,영국,액션,0.762,0.65,0.75,0.581,0.812,1278894
130720,특별수사: 사형수의 편지,160616,한국,액션,0.866,0.52,0.871,0.79,0.876,1241899
124025,시간이탈자,160413,한국,공포,0.799,0.493,0.745,0.61,0.786,1202384
134899,동주,160217,한국,드라마,0.931,0.75,0.983,0.909,0.984,1172641
75006,워크래프트: 전쟁의 서막,160609,미국,액션,0.879,0.596,0.909,0.866,0.916,1163274
125414,스타트렉 비욘드,160817,미국,액션,0.859,0.71,0.861,0.748,0.91,1157156
142625,미씽: 사라진 여자,161130,한국,공포,0.865,0.672,0.878,0.734,0.914,1153109
145292,"당신, 거기 있어줄래요",161214,한국,모험,0.892,0.544,0.912,0.852,0.902,1124815
144918,라이트 아웃,160824,미국,공포,0.782,0.736,0,0.695,0.741,1111284
136686,오빠생각,160121,한국,드라마,0.862,0.566,0.892,0.784,0.925,1069864
140718,"날, 보러와요",160407,한국,공포,0.814,0.55,0.761,0.569,0.759,1063442
144944,맨 인 더 다크,161005,미국,공포,0.855,0.704,0.832,0.749,0.801,1003406
137915,미 비포 유,160601,미국,드라마,0.812,0.578,0.756,0.627,0.803,945172
136835,매그니피센트 7,160914,미국,액션,0.817,0.579,0.831,0.773,0.836,921317
118967,갓 오브 이집트,160303,미국,모험,0.812,0.35,0.772,0.676,0.8,919834
120791,레전드 오브 타잔,160629,미국,액션,0.813,0.525,0.803,0.69,0.853,858402
136893,좋아해줘,160217,한국,멜로/로맨스,0.872,0.64,0.864,0.789,0.843,848148
143456,브리짓 존스의 베이비,160928,미국,드라마,0.923,0.563,0.925,0.725,0.929,820995
146512,스플릿,161109,한국,드라마,0.928,0.638,0.944,0.864,0.955,758195
127865,런던 해즈 폴른,160310,미국,액션,0.859,0.4,0.771,0.665,0.784,731584
141824,국가대표 2,160810,한국,드라마,0.891,0.55,0.91,0.809,0.946,709929
129461,인페르노,161019,미국,공포,0.822,0.467,0.817,0.744,0.834,689071
167599,앵그리버드 더 무비,160519,미국,모험,0.912,0.6,0.882,0.719,0.806,680606
62285,그날의 분위기,160114,한국,멜로/로맨스,0.798,0.531,0.682,0.54,0.665,653287
124031,널 기다리며,160310,한국,공포,0.784,0.506,0.795,0.743,0.795,635235
143495,설리: 허드슨강의 기적,160928,미국,드라마,0.905,0.775,0.959,0.917,0.965,627102
119412,잭 리처: 네버 고 백,161130,미국,액션,0.825,0.488,0.748,0.646,0.757,611097
146560,싱 스트리트,160519,아일랜드,드라마,0.913,0.681,0.946,0.903,0.932,560790
127378,아이스 에이지: 지구 대충돌,160720,미국,모험,0.817,0.6,0.86,0.857,0.844,553760
122596,몬스터 호텔 2,151224,미국,모험,0.875,0.6,0.901,0.776,0.899,552334
130987,메카닉: 리크루트,160831,미국,액션,0.778,0.525,0.694,0.648,0.707,551897
10095,고스트버스터즈,160825,미국,액션,0,0.835,0,0.85,0.81,515553
118953,거울나라의 앨리스,160907,미국,모험,0.859,0.575,0.87,0.78,0.873,513202
141259,가려진 시간,161116,한국,드라마,0.836,0.668,0.888,0.767,0.916,510878
149049,명탐정 코난: 순흑의 악몽,160803,일본,모험,0.915,0.7,0.942,0.836,0.952,508869
120165,해어화,160413,한국,드라마,0.835,0.562,0.842,0.777,0.836,485695
132998,계춘할망,160519,한국,드라마,0.875,0.616,0.921,0.857,0.937,482516
136821,"로봇, 소리",160127,한국,드라마,0.837,0.658,0.889,0.838,0.9,476665
