,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
405,143456,브리짓 존스의 베이비,160928,미국,드라마,0.9229999999999999,0.563,0.925,0.725,0.929,820995
406,146512,스플릿,161109,한국,드라마,0.9279999999999999,0.638,0.9440000000000001,0.8640000000000001,0.955,758195
408,141824,국가대표 2,160810,한국,드라마,0.8909999999999999,0.55,0.91,0.809,0.946,709929
413,143495,설리: 허드슨강의 기적,160928,미국,드라마,0.905,0.775,0.9590000000000001,0.917,0.965,627102
415,146560,싱 스트리트,160519,아일랜드,드라마,0.9129999999999999,0.6809999999999999,0.946,0.903,0.932,560790
421,141259,가려진 시간,161116,한국,드라마,0.836,0.6679999999999999,0.888,0.767,0.9159999999999999,510878
423,120165,해어화,160413,한국,드라마,0.835,0.562,0.8420000000000001,0.777,0.836,485695
424,132998,계춘할망,160519,한국,드라마,0.875,0.616,0.9209999999999999,0.857,0.937,482516
425,136821,"로봇, 소리",160127,한국,드라마,0.8370000000000001,0.6579999999999999,0.889,0.838,0.9,476665
427,136842,빅쇼트,160121,미국,드라마,0.82,0.7290000000000001,0.8909999999999999,0.867,0.894,446712
429,177977,나를 잊지 말아요,160107,한국,드라마,0.0,0.0,0.0,0.0,0.0,425799
431,130786,조선마술사,151230,한국,드라마,0.6970000000000001,0.46299999999999997,0.6920000000000001,0.544,0.763,403919
437,101962,캐롤,160204,미국,드라마,0.88,0.8959999999999999,0.899,0.7609999999999999,0.915,319357
438,136687,위대한 소원,160421,한국,드라마,0.831,0.5,0.823,0.8059999999999999,0.754,308398
439,129072,스포트라이트,160224,미국,드라마,0.905,0.794,0.937,0.8859999999999999,0.943,299878
446,139674,순정,160224,한국,드라마,0.907,0.55,0.924,0.775,0.937,240484
449,136876,독수리 에디,160407,미국,드라마,0.909,0.675,0.946,0.9109999999999999,0.932,226341
454,152183,"무현, 두 도시 이야기",161026,한국,드라마,0.9570000000000001,0.6,0.91,0.7709999999999999,0.966,192668
455,121061,글로리데이,160324,한국,드라마,0.866,0.575,0.8290000000000001,0.602,0.861,189221
457,127496,대호,151216,한국,드라마,0.833,0.708,0.8390000000000001,0.721,0.919,178574
458,133496,부활,160317,미국,드라마,0.905,0.6,0.8759999999999999,0.7140000000000001,0.9540000000000001,176122
460,180130,조이,160310,미국,드라마,0.0,0.0,0.0,0.0,0.0,172253
461,136824,대배우,160330,한국,드라마,0.725,0.5539999999999999,0.601,0.531,0.59,169984
466,53152,500일의 썸머,100121,미국,드라마,0.92,0.775,0.884,0.843,0.852,147891
469,146534,자백,161013,한국,드라마,0.9740000000000001,0.767,0.975,0.893,0.991,143648
476,51787,대니쉬 걸,160217,미국,드라마,0.9009999999999999,0.6970000000000001,0.938,0.805,0.9570000000000001,134079
477,22126,인생은 아름다워,990306,이탈리아,드라마,0.968,0.8340000000000001,0.985,0.9209999999999999,0.98,127325
478,137340,마이 리틀 자이언트,160810,미국,드라마,0.816,0.677,0.813,0.7659999999999999,0.711,125800
489,145804,걷기왕,161020,한국,드라마,0.8640000000000001,0.607,0.813,0.723,0.848,95542
490,147047,일사각오,160317,한국,드라마,0.955,0.9179999999999999,0.0,0.8959999999999999,0.9690000000000001,94767
491,146311,나의 산티아고,160714,독일,드라마,0.838,0.6,0.853,0.772,0.846,94243
492,146548,태풍이 지나가고,160727,일본,드라마,0.878,0.7070000000000001,0.903,0.863,0.866,93005
493,139613,오베라는 남자,160525,스웨덴,드라마,0.917,0.6859999999999999,0.965,0.925,0.9640000000000001,92380
496,174259,룸,160303,아일랜드,드라마,0.0,0.0,0.0,0.0,0.0,87673
498,163133,유스,160107,이탈리아,드라마,0.0,0.0,0.0,0.0,0.0,85363
502,129331,오 마이 그랜파,160317,미국,드라마,0.835,0.465,0.7829999999999999,0.743,0.72,79701
508,150632,세상에서 고양이가 사라진다면,161109,일본,드라마,0.884,0.59,0.899,0.8340000000000001,0.914,70424
510,134859,어카운턴트,161013,미국,드라마,0.8270000000000001,0.4,0.875,0.838,0.877,69529
511,179683,번개맨,160211,한국,드라마,0.8859999999999999,0.902,0.0,0.894,0.993,69363
512,127361,이퀄스,160831,미국,드라마,0.825,0.679,0.871,0.8290000000000001,0.863,68902
513,130757,스티브 잡스,160121,미국,드라마,0.792,0.64,0.7859999999999999,0.7190000000000001,0.833,68815
515,140730,올레,160825,한국,드라마,0.851,0.442,0.78,0.7509999999999999,0.6940000000000001,66883
517,133424,데몰리션,160713,미국,드라마,0.855,0.6779999999999999,0.894,0.8540000000000001,0.9,66473
518,73462,레터스 투 갓,160225,미국,드라마,0.9209999999999999,0.3,0.897,0.785,0.9540000000000001,66250
520,130983,트럼보,160407,미국,드라마,0.8859999999999999,0.76,0.927,0.872,0.938,61964
525,10048,죽은 시인의 사회,900519,미국,드라마,0.971,0.75,0.983,0.919,0.976,57789
528,170051,그물,161006,한국,드라마,0.0,0.0,0.0,0.0,0.0,56541
529,114237,드레스메이커,160211,호주,드라마,0.8109999999999999,0.64,0.852,0.774,0.8690000000000001,56316
530,169978,비포 선라이즈,960330,미국,드라마,0.0,0.0,0.0,0.0,0.0,56082
531,149511,빅뱅 메이드,160630,한국,드라마,0.0,0.5710000000000001,0.941,0.5379999999999999,0.993,55582
533,10293,불의 전차,160616,영국,드라마,0.87,0.71,0.877,0.775,0.857,55051
535,154347,순종,161117,한국,드라마,0.9740000000000001,0.5,0.948,0.8290000000000001,0.948,54456
536,140011,잡아야 산다,160107,한국,드라마,0.736,0.3,0.425,0.258,0.669,54450
538,150376,"나, 다니엘 블레이크",161208,영국,드라마,0.941,0.84,0.973,0.91,0.976,53852
539,103657,브루클린,160421,미국,드라마,0.851,0.8059999999999999,0.852,0.736,0.847,51106
