,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
202,117787,로건,170301,미국,액션,0.9059999999999999,0.755,0.951,0.9129999999999999,0.95,2169109
203,125473,원더 우먼,170531,미국,액션,0.836,0.67,0.807,0.722,0.835,2165401
205,143394,혹성탈출: 종의 전쟁,170815,미국,액션,0.8270000000000001,0.775,0.831,0.736,0.887,2051315
208,116866,저스티스 리그,171115,미국,액션,0.8009999999999999,0.583,0.809,0.742,0.865,1786383
209,152625,킬러의 보디가드,170830,미국,액션,0.9229999999999999,0.56,0.882,0.807,0.889,1721757
210,127397,콩: 스컬 아일랜드,170308,미국,액션,0.8240000000000001,0.617,0.8140000000000001,0.711,0.865,1689717
216,152170,브이아이피,170823,한국,액션,0.6970000000000001,0.5,0.6829999999999999,0.736,0.503,1373316
218,99715,에이리언: 커버넌트,170509,미국,액션,0.831,0.711,0.852,0.773,0.905,1307226
220,155256,악녀,170608,한국,액션,0.7929999999999999,0.54,0.73,0.621,0.804,1208081
224,129095,지오스톰,171019,미국,액션,0.823,0.55,0.7809999999999999,0.672,0.835,1028384
225,125488,스타워즈: 라스트 제다이,171214,미국,액션,0.792,0.7709999999999999,0.684,0.574,0.828,946547
226,154112,불한당: 나쁜 놈들의 세상,170517,한국,액션,0.826,0.583,0.659,0.505,0.747,939535
230,143402,베이비 드라이버,170914,영국,액션,0.853,0.767,0.838,0.768,0.833,822769
231,110333,레지던트 이블: 파멸의 날,170125,미국,액션,0.871,0.6,0.879,0.7979999999999999,0.9209999999999999,765259
232,134838,공각기동대 : 고스트 인 더 쉘,170329,미국,액션,0.737,0.514,0.73,0.669,0.762,764072
241,137970,발레리안: 천 개 행성의 도시,170830,프랑스,액션,0.823,0.556,0.818,0.736,0.841,511931
242,126034,그레이트 월,170215,미국,액션,0.804,0.45,0.6679999999999999,0.591,0.7,501486
245,102278,트리플 엑스 리턴즈,170208,미국,액션,0.831,0.696,0.0,0.599,0.755,475309
247,152633,라이프,170405,미국,액션,0.7929999999999999,0.5670000000000001,0.7559999999999999,0.7020000000000001,0.74,459984
251,142699,원라인,170329,한국,액션,0.879,0.5710000000000001,0.856,0.698,0.907,435048
254,136868,로그 원: 스타워즈 스토리,161228,미국,액션,0.846,0.716,0.888,0.8590000000000001,0.871,422822
255,127374,킹 아서: 제왕의 검,170517,영국,액션,0.823,0.525,0.815,0.72,0.905,415714
257,137945,아메리칸 메이드,170914,미국,액션,0.7809999999999999,0.667,0.8109999999999999,0.782,0.782,401541
